C1,C2,C3,C4,C5
85,4,16,4,2,19
86,17,13,17,18,10
87,9,3,15,20,7
88,7,13,7,3,7
89,4,12,13,6,19
90,15,14,13,5,4
91,17,16,18,8,20
92,7,12,17,5,16
93,6,3,12,9,7
94,14,1,18,1,3
95,18,11,10,11,2
96,3,1,4,16,18
97,15,9,17,12,17
98,4,15,18,9,19
99,19,4,6,1,10
100,14,16,10,6,14
101,18,16,10,1,3
102,18,1,20,4,15
103,16,10,1,15,14
104,7,17,13,18,14
105,12,16,10,18,14
106,5,16,1,16,15
107,18,5,15,17,12
108,4,11,10,1,15
109,17,8,13,16,11
110,15,19,1,3,3
111,12,16,5,12,15
112,16,9,9,12,14
113,5,16,20,12,5
114,2,19,9,18,19
115,13,13,5,18,5
116,16,5,2,20,4
117,13,20,18,11,17
118,13,16,18,2,10
119,19,15,3,2,16
120,5,16,17,14,2
121,18,10,1,2,19
122,5,20,8,15,14
123,13,13,1,8,3
124,14,20,2,2,15
125,17,2,13,19,8
126,7,17,18,18,4
127,4,1,20,3,2
128,1,14,7,20,17
129,8,7,8,4,12
130,11,4,2,18,16
131,9,15,5,19,3
132,6,2,12,19,7
133,14,8,12,19,17
134,18,10,4,18,17
135,20,6,18,11,8
136,20,13,14,2,13
137,18,16,15,8,7
138,2,12,18,9,11
139,20,6,9,17,18
140,10,11,8,16,20
141,13,13,9,7,8
142,11,2,11,15,18
143,12,16,14,18,15
144,9,20,17,11,1
145,19,4,10,1,9
146,2,11,9,4,15
147,9,5,7,13,7
148,14,12,16,3,8
149,19,20,5,15,1
150,14,5,18,18,10
151,6,13,13,12,20
152,13,6,18,19,9
153,6,6,7,8,10
154,17,13,13,18,11
155,1,20,17,8,18
156,8,2,1,6,1
157,2,13,15,20,1
158,20,2,3,5,13
159,19,1,16,15,9
160,2,13,6,8,13
161,4,14,20,14,10
162,3,18,11,18,15
163,16,9,17,11,13
164,3,8,3,5,15
165,18,17,3,10,13
166,15,9,18,8,15
167,20,18,10,14,6
168,5,16,5,16,6
169,9,9,11,7,3
170,16,14,19,14,5
171,10,6,6,2,16
172,20,10,13,1,2
173,8,4,16,1,16
174,4,4,2,15,17
175,14,13,14,17,16
176,4,3,1,1,19
177,8,6,14,4,8
178,12,12,7,16,10
179,19,6,13,17,1
180,11,2,18,4,2
181,4,16,20,5,17
182,6,19,10,6,14
183,14,20,3,17,20
184,13,8,16,1,4
185,10,17,10,19,8
186,19,3,17,13,16
187,18,18,17,1,16
188,9,5,20,12,16
189,7,7,5,18,19
190,19,5,6,8,10
191,10,5,4,3,20
192,13,17,6,2,6
193,1,14,10,9,18
194,4,5,11,17,9
195,16,9,4,8,14
196,3,18,1,9,1
197,12,14,14,19,19
198,4,7,3,1,20
199,13,16,9,14,7
200,7,6,10,17,4
201,7,12,3,7,2
202,3,18,12,7,2
203,17,9,12,15,18
204,13,20,18,2,17
205,17,17,5,15,15
206,17,2,17,9,8
207,5,6,14,1,1
208,15,15,12,7,10
209,1,7,7,15,17
210,12,18,19,11,2
211,13,13,14,18,13
212,17,17,20,19,4
213,17,9,17,8,17
214,19,13,4,18,2
215,16,2,2,9,9
216,20,16,20,16,3
217,3,7,16,20,10
218,15,4,16,17,9
219,18,20,7,16,14
220,5,1,9,7,8
221,12,1,12,4,15
222,20,15,19,1,11
223,13,7,5,13,11
224,1,10,2,10,4
225,3,17,5,12,10
226,19,7,13,14,6
227,18,10,14,20,4
228,14,13,20,4,6
229,20,17,16,5,19
230,20,1,12,11,6
231,14,16,12,6,11
232,1,13,6,2,16
233,2,5,15,3,2
234,19,19,3,7,10
235,18,11,15,6,19
236,14,5,2,5,18
237,20,7,20,17,4
238,17,17,15,16,3
239,2,6,10,9,14
240,9,5,1,18,6
241,4,18,20,20,5
242,20,19,20,19,4
243,20,2,7,12,17
244,20,14,7,14,1
245,10,8,16,11,13
246,11,19,10,4,12
247,9,10,13,13,4
248,14,16,6,5,8
249,4,8,17,6,13
250,19,16,20,17,9
251,7,7,6,6,15
252,5,19,1,1,4
253,11,13,20,14,19
254,2,4,5,8,6
255,16,3,6,3,12
256,6,14,1,5,13
257,7,12,15,2,13
258,18,5,11,10,2
259,2,4,4,17,1
260,12,18,19,4,4
261,4,8,1,17,17
262,7,3,1,1,4
263,6,17,1,18,7
264,17,9,18,11,9
265,7,19,13,17,19
266,7,19,17,8,1
267,9,14,20,16,15
268,7,1,20,9,12
269,1,14,5,1,14
270,20,14,13,13,15
271,18,20,16,6,19
272,13,9,2,15,2
273,8,6,20,10,13
274,10,20,7,7,18
275,15,2,20,20,16
276,20,4,15,8,8
277,10,14,5,5,3
278,19,18,13,12,18
279,10,12,4,12,8
280,20,14,8,5,13
281,7,2,9,5,18
282,18,14,5,12,13
283,3,14,14,11,12
284,11,12,18,1,6
285,14,20,17,3,11
286,11,2,9,13,1
287,18,5,5,15,7
288,6,2,14,1,3
289,17,1,14,16,15
290,11,13,2,2,13
291,19,18,12,11,2
292,3,13,13,11,12
293,9,1,20,10,19
294,8,2,11,18,4
295,7,11,13,16,17
296,12,7,10,1,17
297,8,15,8,17,20
298,5,12,14,19,4
299,9,6,6,1,18
300,1,15,6,14,17
301,9,11,14,13,15
302,1,13,19,11,16
303,8,3,7,1,5
304,5,12,11,2,4
305,4,11,4,4,14
306,2,10,5,5,8
307,12,11,15,3,9
308,7,8,5,17,15
309,16,16,2,2,18
310,8,15,16,14,20
311,19,8,3,20,10
312,18,10,18,7,11
313,12,19,4,12,9
314,17,12,3,18,1
315,13,5,1,1,16
316,19,16,9,10,13
317,13,2,14,17,1
318,13,8,17,18,1
319,1,19,5,15,19
320,12,11,5,19,9
321,15,19,6,8,5
322,18,15,11,9,8
323,6,18,19,18,2
324,17,11,17,2,13
325,5,11,7,13,9
326,15,4,9,14,7
327,1,7,14,20,4
328,13,10,2,16,1
329,11,20,1,6,19
330,6,10,5,1,20
331,4,5,18,8,15
332,9,11,18,8,4
333,15,3,3,2,6
334,11,4,10,5,15
335,20,18,7,1,6
336,5,18,13,10,6
337,5,14,5,3,10
338,5,8,18,5,6
339,10,14,20,2,11
340,12,3,6,3,15
341,16,20,14,17,1
342,5,13,8,3,2
343,8,19,2,10,15
344,16,8,5,13,11
345,9,15,18,4,1
346,16,13,5,14,5
347,5,5,8,15,20
348,12,14,10,3,16
349,3,5,12,1,20
350,4,14,8,19,11
351,12,9,12,10,4
352,3,15,12,7,5
353,16,9,15,18,12
354,20,1,6,13,18
355,11,8,9,14,11
356,3,5,11,4,6
357,9,2,16,13,3
358,7,18,1,3,18
359,16,11,9,20,12
360,9,5,3,15,17
361,17,16,17,18,3
362,11,12,3,20,13
363,1,4,15,7,20
364,14,7,16,5,12
365,11,15,14,3,18
366,14,7,16,9,7
367,8,14,18,11,10
368,13,15,19,9,20
369,4,3,19,8,20
370,17,13,20,6,9
371,2,5,3,5,8
372,14,6,14,1,9
373,20,12,9,9,7
374,16,9,19,9,12
375,5,4,7,8,2
376,17,9,13,18,12
377,7,18,19,1,10
378,5,9,11,12,5
379,20,19,14,4,13
380,9,7,17,9,3
381,16,8,10,20,4
382,2,13,20,4,19
383,4,13,6,12,16
384,9,3,7,14,4
385,5,11,20,20,6
386,3,2,11,3,16
387,7,13,4,1,16
388,3,8,19,4,5
389,20,16,16,8,7
390,11,6,11,9,7
391,2,12,19,13,2
392,12,14,4,15,1
393,12,7,5,5,12
394,10,18,19,14,18
395,3,20,17,4,2
396,19,15,17,15,16
397,13,2,3,2,13
398,18,2,20,15,7
399,3,13,18,15,7
400,19,17,6,2,14
401,2,3,15,17,19
402,3,16,14,11,11
403,16,4,11,9,19
404,18,7,6,4,11
405,13,7,17,3,12
406,4,11,13,20,8
407,6,9,19,8,12
408,16,6,18,8,16
409,16,10,7,6,4
410,15,13,6,1,17
411,14,19,13,19,12
412,6,9,13,6,11
413,13,9,11,2,6
414,6,11,17,11,6
415,19,12,4,9,12
416,17,16,8,6,13
417,6,16,13,6,16
418,12,7,16,7,3
419,18,20,19,19,5
420,4,12,10,10,3
421,19,18,9,6,19
422,16,8,2,8,12
423,2,6,17,11,5
424,15,16,19,6,1
425,15,5,9,12,9
426,4,5,14,16,15
427,13,16,6,16,2
428,9,2,11,10,20
429,5,1,5,9,2
430,8,5,16,15,12
431,15,11,2,6,20
432,14,13,9,19,7
433,10,18,8,12,13
434,8,7,17,7,13
435,9,12,13,6,10
436,5,13,5,8,10
437,15,15,9,16,10
438,20,7,14,17,8
439,2,20,15,19,19
440,16,19,19,4,7
441,19,12,5,6,2
442,15,5,20,14,17
443,13,10,15,1,1
444,17,2,6,12,13
445,15,12,4,9,10
446,8,13,3,19,10
447,18,14,3,5,9
448,16,17,14,19,16
449,6,18,18,10,13
450,3,13,7,3,13
451,13,3,17,5,4
452,14,14,6,3,17
453,15,18,20,15,3
454,18,14,13,6,11
455,11,18,15,1,8
456,16,13,16,4,11
457,2,2,14,16,15
458,5,15,13,15,3
459,16,19,5,8,17
460,3,18,7,18,7
461,2,5,5,8,13
462,7,15,20,18,6
463,2,19,1,18,9
464,13,4,12,3,2
465,16,1,3,1,14
466,2,4,5,3,10
467,18,19,6,12,11
468,11,10,15,4,16
469,3,10,12,13,14
470,7,18,16,12,13
471,15,12,17,1,16
472,5,3,15,14,6
473,5,20,7,13,12
474,14,2,3,6,3
475,17,16,19,18,11
476,2,5,18,20,11
477,14,20,4,1,20
478,15,11,20,13,1
479,12,7,1,17,1
480,10,9,14,19,17
481,12,10,16,12,6
482,14,2,19,11,16
483,7,12,16,5,12
484,20,19,12,10,5
485,20,17,10,13,20
486,3,20,15,10,17
487,11,2,16,15,4
488,10,16,17,17,10
489,19,11,18,19,16
490,14,1,9,1,10
491,5,11,13,6,18
492,11,15,15,2,1
493,15,2,10,16,5
494,17,12,15,16,6
495,5,19,9,2,9
496,6,16,9,5,18
497,3,16,19,13,1
498,16,3,7,13,8
499,6,1,14,7,3
